                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                 2.3422,                 2.4358,                 1.6365,                0.42548,                0.28244,                0.27356,                0.09848,                 2.2772,                 2.7413,                 1.6846,               0.008119,               0.008119,               0.008119
                     60,                 2.3346,                 2.3418,                 1.6178,                0.45239,                0.27481,                0.28371,                0.10901,                 2.2054,                  3.005,                 1.7074,               0.008086,               0.008086,               0.008086
                     61,                 2.3338,                 2.4757,                 1.5955,                0.40464,                0.23664,                0.24152,                0.09339,                  2.293,                 2.6765,                 1.6865,               0.008053,               0.008053,               0.008053
                     62,                  2.303,                 2.3483,                 1.5721,                0.37343,                0.29771,                0.27029,                0.10764,                 2.1587,                 2.5011,                 1.6377,                0.00802,                0.00802,                0.00802
                     63,                 2.3337,                 2.3707,                 1.6193,                 0.4525,                0.31298,                0.33453,                0.12351,                 2.1594,                 2.5429,                 1.6187,               0.007987,               0.007987,               0.007987
                     64,                 2.2203,                 2.2704,                 1.6321,                0.46528,                0.30534,                0.30657,                0.11395,                 2.2478,                  2.624,                 1.6684,               0.007954,               0.007954,               0.007954
                     65,                  2.249,                  2.359,                 1.5747,                0.52226,                0.29771,                0.32594,                0.11308,                 2.2121,                 2.5253,                  1.651,               0.007921,               0.007921,               0.007921
                     66,                 2.2828,                  2.338,                 1.6078,                0.48294,                0.36641,                0.35152,                0.13264,                 2.1211,                 2.4607,                 1.6681,               0.007888,               0.007888,               0.007888
                     67,                 2.2417,                 2.3079,                 1.5619,                0.44942,                0.31157,                0.29752,                0.10395,                 2.2471,                 2.6231,                 1.6521,               0.007855,               0.007855,               0.007855
                     68,                 2.1892,                 2.2585,                 1.5795,                0.39399,                0.31298,                0.29251,                0.11883,                 2.1634,                 2.5916,                 1.6418,               0.007822,               0.007822,               0.007822
                     69,                 2.2925,                 2.2987,                 1.6017,                0.62871,                0.24561,                0.31348,                0.12271,                 2.2352,                 2.5744,                 1.6396,               0.007789,               0.007789,               0.007789
                     70,                 2.2828,                 2.3468,                 1.5809,                 0.4204,                0.32669,                0.31246,                0.11867,                 2.1916,                 2.7877,                 1.6772,               0.007756,               0.007756,               0.007756
                     71,                 2.2155,                 2.2354,                 1.5794,                0.55664,                0.29711,                0.32484,                 0.1409,                 2.2046,                 2.4663,                 1.6852,               0.007723,               0.007723,               0.007723
                     72,                 2.2511,                 2.2475,                 1.5725,                0.47797,                0.30534,                0.30524,                0.12352,                 2.2382,                 2.5814,                 1.6343,                0.00769,                0.00769,                0.00769
                     73,                 2.2491,                 2.1589,                 1.5571,                 0.4849,                0.32824,                0.32515,                0.12733,                 2.1351,                 2.3746,                 1.6181,               0.007657,               0.007657,               0.007657
                     74,                 2.1113,                 2.1928,                 1.5107,                0.51735,                0.32824,                 0.3429,                0.13491,                 2.1318,                 2.4558,                 1.6059,               0.007624,               0.007624,               0.007624
                     75,                 2.1563,                 2.2401,                  1.515,                 0.4305,                0.32892,                0.32377,                0.11385,                 2.1287,                 2.5431,                 1.6421,               0.007591,               0.007591,               0.007591
                     76,                 2.1001,                 2.2409,                 1.4957,                0.51939,                0.33588,                0.33503,                0.11654,                 2.1726,                 2.5493,                 1.6357,               0.007558,               0.007558,               0.007558
                     77,                  2.181,                 2.1368,                 1.5371,                0.45423,                0.38168,                0.36346,                0.13486,                 2.1583,                 2.4113,                 1.6382,               0.007525,               0.007525,               0.007525
                     78,                 2.1533,                 2.2681,                  1.558,                0.42239,                0.27914,                0.29081,                0.12434,                 2.1083,                 2.6116,                 1.6048,               0.007492,               0.007492,               0.007492
                     79,                 2.1356,                 2.1638,                 1.5462,                0.58605,                0.27481,                0.32577,                0.12556,                 2.1499,                 2.6109,                  1.632,               0.007459,               0.007459,               0.007459
                     80,                 2.1356,                 2.1091,                 1.5573,                0.53314,                0.29008,                0.33909,                 0.1257,                  2.125,                 2.5882,                 1.6196,               0.007426,               0.007426,               0.007426
                     81,                 2.1746,                 2.1794,                 1.5456,                 0.6154,                0.25954,                 0.3031,                0.11099,                 2.2155,                  2.616,                   1.67,               0.007393,               0.007393,               0.007393
                     82,                 2.1364,                 2.1071,                 1.5451,                0.59722,                0.29008,                0.36412,                  0.144,                  2.074,                 2.4905,                 1.5968,                0.00736,                0.00736,                0.00736
                     83,                 2.1565,                 2.0953,                 1.5223,                0.40372,                0.36641,                0.30819,                0.11548,                  2.093,                 2.5426,                 1.6153,               0.007327,               0.007327,               0.007327
                     84,                 2.1473,                 2.1616,                 1.5497,                0.47898,                0.37196,                0.36029,                0.14443,                 2.1557,                 2.4136,                 1.6554,               0.007294,               0.007294,               0.007294
                     85,                 2.1539,                  2.029,                  1.533,                0.72689,                0.29008,                 0.3701,                0.13856,                 2.1203,                 2.4956,                  1.629,               0.007261,               0.007261,               0.007261
                     86,                 2.1317,                 2.0835,                 1.5733,                0.65176,                0.28244,                0.35507,                 0.1294,                 2.1807,                 2.5514,                 1.6556,               0.007228,               0.007228,               0.007228
                     87,                 2.0928,                 1.9923,                 1.5188,                0.53919,                0.35878,                0.35327,                0.13485,                 2.0536,                 2.4655,                 1.6148,               0.007195,               0.007195,               0.007195
                     88,                 2.0919,                 2.0267,                 1.5243,                0.60586,                0.40458,                0.41254,                0.17091,                 2.0955,                 2.3671,                 1.6075,               0.007162,               0.007162,               0.007162
                     89,                 2.0662,                 1.9635,                 1.4708,                0.54536,                0.39695,                0.38038,                0.15556,                 2.1153,                 2.3385,                 1.6149,               0.007129,               0.007129,               0.007129
                     90,                 2.0185,                 2.0276,                 1.4763,                 0.6246,                0.35878,                  0.407,                0.16476,                 2.0803,                 2.3464,                 1.6038,               0.007096,               0.007096,               0.007096
                     91,                 2.0222,                 1.9736,                 1.4578,                0.64755,                0.32061,                0.37524,                0.14078,                 2.1012,                 2.4114,                 1.6147,               0.007063,               0.007063,               0.007063
                     92,                 2.0282,                 1.9101,                 1.4829,                0.57545,                0.33588,                0.37637,                0.15654,                 2.1222,                 2.5314,                 1.6489,                0.00703,                0.00703,                0.00703
                     93,                 2.1538,                 2.0076,                 1.5319,                0.49186,                0.35878,                0.34201,                0.13379,                 2.0905,                 2.4286,                  1.625,               0.006997,               0.006997,               0.006997
                     94,                 2.1357,                 1.9355,                 1.5153,                0.56384,                0.32061,                 0.3588,                0.13437,                 2.0893,                 2.4884,                 1.6073,               0.006964,               0.006964,               0.006964
                     95,                 2.0288,                 1.9835,                 1.4764,                0.54435,                 0.3739,                 0.3914,                0.15253,                 2.0846,                 2.4444,                 1.6391,               0.006931,               0.006931,               0.006931
                     96,                 2.0862,                 2.0549,                  1.493,                0.58197,                0.29771,                  0.353,                0.14399,                 2.0596,                 2.4211,                 1.6412,               0.006898,               0.006898,               0.006898
                     97,                 2.0734,                 1.9024,                 1.4561,                0.59903,                0.30794,                0.36878,                0.16157,                 2.0913,                 2.3761,                 1.6159,               0.006865,               0.006865,               0.006865
                     98,                 2.0724,                 2.0094,                 1.5139,                0.62236,                0.35115,                0.38219,                0.15915,                 2.0513,                 2.3241,                 1.6442,               0.006832,               0.006832,               0.006832
                     99,                 2.0086,                 1.8492,                  1.507,                0.63648,                0.32824,                0.38856,                0.15844,                 2.1343,                 2.3388,                 1.6347,               0.006799,               0.006799,               0.006799
                    100,                 1.9479,                 1.9007,                 1.4279,                0.59573,                0.35115,                0.39849,                0.15506,                 2.1574,                 2.3453,                 1.6647,               0.006766,               0.006766,               0.006766
                    101,                 1.9487,                 1.7712,                 1.4557,                0.51047,                0.40458,                  0.366,                0.15339,                 2.0473,                 2.2768,                 1.5924,               0.006733,               0.006733,               0.006733
                    102,                 1.9715,                 1.7978,                  1.407,                 0.6651,                0.34351,                0.36944,                0.15057,                 2.0505,                 2.4678,                 1.6313,                 0.0067,                 0.0067,                 0.0067
                    103,                 1.9686,                 1.9227,                 1.4413,                0.58706,                0.41239,                0.41147,                0.16179,                 2.0413,                 2.3433,                 1.5973,               0.006667,               0.006667,               0.006667
                    104,                 2.0307,                 1.9014,                  1.483,                0.48458,                0.34351,                0.37993,                0.16232,                 2.0603,                  2.364,                  1.626,               0.006634,               0.006634,               0.006634
                    105,                 1.9793,                 1.8296,                 1.4455,                0.49097,                0.38168,                0.40193,                0.16628,                 2.0695,                 2.3727,                  1.642,               0.006601,               0.006601,               0.006601
                    106,                 1.9807,                 1.7958,                 1.4397,                0.48261,                0.43511,                0.38693,                0.16176,                 2.0768,                 2.4238,                 1.6213,               0.006568,               0.006568,               0.006568
                    107,                 1.9583,                 1.7808,                 1.4573,                0.54929,                0.42748,                0.40756,                0.16521,                 2.0286,                 2.3374,                  1.622,               0.006535,               0.006535,               0.006535
                    108,                  1.938,                 1.8076,                 1.4101,                0.53833,                0.42748,                  0.458,                0.17928,                 2.0694,                 2.3387,                 1.5926,               0.006502,               0.006502,               0.006502
                    109,                 1.8716,                 1.7561,                 1.3975,                0.53982,                0.38168,                0.38117,                0.14596,                 2.0805,                 2.4931,                 1.6396,               0.006469,               0.006469,               0.006469
                    110,                 1.9236,                  1.736,                 1.4344,                0.61452,                0.35115,                0.39632,                0.16208,                 2.1965,                 2.4406,                  1.728,               0.006436,               0.006436,               0.006436
                    111,                 2.0319,                 1.8524,                 1.4579,                0.51762,                0.41221,                0.40465,                0.15554,                 2.1825,                 2.3859,                 1.6989,               0.006403,               0.006403,               0.006403
                    112,                 1.9704,                 1.7783,                 1.4233,                0.49563,                0.35115,                 0.3881,                0.15469,                  2.077,                 2.4301,                 1.6468,                0.00637,                0.00637,                0.00637
                    113,                 1.9069,                 1.6824,                 1.4076,                0.61091,                0.32824,                0.40061,                0.14935,                 2.0859,                  2.451,                  1.688,               0.006337,               0.006337,               0.006337
                    114,                 1.9275,                  1.722,                 1.4216,                0.54479,                0.34351,                0.39631,                0.15161,                 2.0725,                 2.3626,                 1.6106,               0.006304,               0.006304,               0.006304
                    115,                 1.9065,                  1.692,                 1.4101,                0.59855,                0.35115,                0.41654,                0.16622,                 2.1203,                 2.3491,                 1.6457,               0.006271,               0.006271,               0.006271
                    116,                 1.8768,                 1.7288,                 1.3835,                0.55325,                0.36641,                0.40189,                0.15198,                  2.074,                 2.3426,                 1.6322,               0.006238,               0.006238,               0.006238
